3f20f6443dd4073ff67cc37d8227d10e|Bis nächste Woche!|bis nächste woche!
4fe61c9ab0edf2a9087096a165a75e7f|Hast du ihn jemals schwimmen gesehen?|hast du ihn jemals schwimmen gesehen?
9c118b98fcf389bf29baa558fae566ae|Es ist ein Riesenunterschied zwischen „sich verständlich machen“ und „Englisch vollkommen beherrschen“.|es ist ein riesenunterschied zwischen „sich verständlich machen“ und „englisch vollkommen beherrschen“.
957fd6cd24254a97104fc39550cbe71a|Er hat etwas Blödes getan und wurde verhöhnt.|er hat etwas blödes getan und wurde verhöhnt.
4c355590e44f9792666a46018717e981|Onkel Ted ging mit uns in den Zoo, um uns die Pandas zu zeigen.|onkel ted ging mit uns in den zoo, um uns die pandas zu zeigen.
cbd3ad34d40baf082b22518faa96612a|Ich hielt den Pelzmantel an meine Wange und träumte von dem Tag, an dem ich ihn mir würde leisten können.|ich hielt den pelzmantel an meine wange und träumte von dem tag, an dem ich ihn mir würde leisten können.
6a9de201ba12c5d8640b412e2bd06811|Ein bisschen Lampenfieber ist normal vor dem Konzert.|ein bisschen lampenfieber ist normal vor dem konzert.
2e1a4b79d3a5d09d66936d31780f858e|Er hat schon ja gesagt.|er hat schon ja gesagt.
cfde71d96fdcdc49154a64fee2204570|Es ist besser für dich, vor dem Schlafengehen nichts mehr zu essen.|es ist besser für dich, vor dem schlafengehen nichts mehr zu essen.
a669c37ee1723c610aed1abb7fce9240|Eifersucht ist eine Leidenschaft, die mit Eifer sucht, was Leiden schafft.|eifersucht ist eine leidenschaft, die mit eifer sucht, was leiden schafft.
7c2d8c7fad77feb609d4c5fc421eb9dc|Die Suche nach dem Sinn des Lebens hat genauso viele Menschen verzweifeln lassen, wie sie glücklich gemacht hat.|die suche nach dem sinn des lebens hat genauso viele menschen verzweifeln lassen, wie sie glücklich gemacht hat.
80385f96ffab65cf95f85f361464e244|Menschen applaudieren einem Sänger deshalb, weil er schön singt, oder darum, weil er endlich aufhört.|menschen applaudieren einem sänger deshalb, weil er schön singt, oder darum, weil er endlich aufhört.
2d1ac271b5b78e60282b7f9060c14904|Es ist nett von dir, mir ein Geburtstagsgeschenk zu machen.|es ist nett von dir, mir ein geburtstagsgeschenk zu machen.
1cbb3bfc598f911b2a41149ab64a8fae|Der effektive Gebrauch von einem Desinfektionsmittel ist ein wichtiges Thema, um die Krankenhausinfektionen zu beherrschen.|der effektive gebrauch von einem desinfektionsmittel ist ein wichtiges thema, um die krankenhausinfektionen zu beherrschen.
ad5eabc40a9f40072053feb2b040be3a|Der Käsekuchen hat zu süß geschmeckt.|der käsekuchen hat zu süß geschmeckt.
ca5df995fdb20382544a711bd222eb29|Warum hat sie mich unterbrochen?|warum hat sie mich unterbrochen?
16d5609d4019f60b8fa21d2ab4eb26af|1956 brandmarkte Chruschtschow die Verbrechen Stalins.|1956 brandmarkte chruschtschow die verbrechen stalins.
ce150cd9fddb7d240c242a2cf9d4bd00|Einhundert, zweihundert, dreihundert, vierhundert, fünfhundert, sechshundert, siebenhundert, achthundert, neunhundert, eintausend.|einhundert, zweihundert, dreihundert, vierhundert, fünfhundert, sechshundert, siebenhundert, achthundert, neunhundert, eintausend.
9e3e8bfbd83a0b40cdda26297abe22ea|Königin Elisabeth II hat während ihres Lebens zahlreiche Titel und Auszeichnungen erhalten.|königin elisabeth ii hat während ihres lebens zahlreiche titel und auszeichnungen erhalten.
219433e8bb0b5d73ac4ef51b6aaf5779|Kommen sie um sechs oder um sieben an?|kommen sie um sechs oder um sieben an?
3acd933de518d4898d65a3c7d634da86|Die Winterzeit löst bei mir Depressionen aus.|die winterzeit löst bei mir depressionen aus.
dfadccacd319c8ca5eb6b7312b268fcb|Er ist stolz darauf, ein britischer Bürger zu sein.|er ist stolz darauf, ein britischer bürger zu sein.
1fc298447c0f7e440d9533853c8fcde2|Ich habe es gefunden!|ich habe es gefunden!
6b4fb520eaf1563c7b2aa9a8e820ff26|Hass mich nicht!|hass mich nicht!
d2e490e3e78f06d27b956b562317a206|Der Taxifahrer fuhr so dermaßen unter aller Sau, dass meine Omi fast der Herzkasper ereilte.|der taxifahrer fuhr so dermaßen unter aller sau, dass meine omi fast der herzkasper ereilte.
5847e761d238144d69fca3e26cec1f20|Erst verstand ich nur Bahnhof, doch dann haute es mich aus den Socken und mir ging endlich ein Licht auf.|erst verstand ich nur bahnhof, doch dann haute es mich aus den socken und mir ging endlich ein licht auf.
054fa8b20c18f7cd0c5aa113b8e88278|Mache immer das Richtige. Das wird einige erfreuen und den Rest erstaunen lassen.|mache immer das richtige. das wird einige erfreuen und den rest erstaunen lassen.
9893d32f81a5b62883588ecfbfaac292|Die einzige Existenzberechtigung für einen Roman ist, dass er versucht, das Leben widerzuspiegeln.|die einzige existenzberechtigung für einen roman ist, dass er versucht, das leben widerzuspiegeln.
19119205d67bbe81e8bb985c751526b0|Alice trägt ein süßes Parfum.|alice trägt ein süßes parfum.
03dbf2b9b3e7bdb789367c958b2ea417|Und wie bei vielen Aspekten des britischen Lebens, gibt es verständliche historische Gründe dafür.|und wie bei vielen aspekten des britischen lebens, gibt es verständliche historische gründe dafür.
d332c256f970020d4fb2b58f2e9a703f|Sie sind ein Nervenbündel.|sie sind ein nervenbündel.
9fbc3964a90723f2c1d2c3f146074ff8|Er hat eine Kamera.|er hat eine kamera.
95ae41c0671e1374258bbe1aff9315bb|Es ist wichtig, dass ein Anwalt jeden Stein umdreht, auch bei Nebensächlichkeiten, und immer auf dem gleichen Punkt herumreitet, um in festgefahrenen Situationen einen Durchbruch zu erreichen.|es ist wichtig, dass ein anwalt jeden stein umdreht, auch bei nebensächlichkeiten, und immer auf dem gleichen punkt herumreitet, um in festgefahrenen situationen einen durchbruch zu erreichen.
b3ccb8e357d4cdebfe4767e6bca223bb|Die Olympischen Spiele als Zweiter beenden ergibt Silber. Als Zweiter die Politik beenden führt dich in die Vergessenheit.|die olympischen spiele als zweiter beenden ergibt silber. als zweiter die politik beenden führt dich in die vergessenheit.
b30a899d0129da1db3fde80063b267a4|Ich weiß nicht, was ich bestellen soll.|ich weiß nicht, was ich bestellen soll.
75b76f19d1c45d6edce0c9c89f2c8a65|Keine andere Sportart ist in Brasilien so populär wie Fußball.|keine andere sportart ist in brasilien so populär wie fußball.
27edf61194587384fe92efea1a4e3711|Weihnachten ist das verlogene Fest, an dem zutiefst zerstrittene Familien des christlichen Abendlandes für einen Tag so tun, als wäre alles in Ordnung.|weihnachten ist das verlogene fest, an dem zutiefst zerstrittene familien des christlichen abendlandes für einen tag so tun, als wäre alles in ordnung.
090a30c5b559ecbb00e5cfd52a47746f|Schmidt hat gesprochen und Kohl hat geschimpft.|schmidt hat gesprochen und kohl hat geschimpft.
9ce1d85ed66181a6e0937e95395343b3|Steig nicht auf diese Leiter, sie ist nicht sicher!|steig nicht auf diese leiter, sie ist nicht sicher!
b81c195d514ff6152bcb7395817247bd|Ich brauche Sonnenöl.|ich brauche sonnenöl.
8aea87052da6c17bed34165c2d86a063|Der Säbelzahntiger ist während der Eiszeit ausgestorben.|der säbelzahntiger ist während der eiszeit ausgestorben.
47980695b0c710d18b53e23721b62303|Ich hinterlasse meine Nummer für den Fall, dass Sie mich anrufen wollen.|ich hinterlasse meine nummer für den fall, dass sie mich anrufen wollen.
072ce31e8df2a2515e3f5f93752be26c|Ljusja ist ein sehr naives und leichtgläubiges Kind.|ljusja ist ein sehr naives und leichtgläubiges kind.
1bc48880054b50e5d2051c1dd21b4d83|Ich erinnere mich, ihn irgendwo vorher gesehen zu haben.|ich erinnere mich, ihn irgendwo vorher gesehen zu haben.
7ada84ddbe5a4d09d4e92fcef202d70c|Leute, die râler nicht mit Zirkumflex schreiben, bringen mich auf die Palme.|leute, die râler nicht mit zirkumflex schreiben, bringen mich auf die palme.
f45191cc02a7fa9cf954046ca57ed6bc|Dieses ist das beste Kuschikatsu-Restaurant in Osaka.|dieses ist das beste kuschikatsu-restaurant in osaka.
5bb0ed54f13d8570d9932232360ebbcf|Hör auf, das zu sagen!|hör auf, das zu sagen!
03196f6a533b2a0af16bd01040a57938|Die Bezahlung war gut, und das war ihre einzige Motivation an der Studie teilzunehmen.|die bezahlung war gut, und das war ihre einzige motivation an der studie teilzunehmen.
4b5a524b6a708a94b24bc4176c4bf989|Parallele Linien schneiden sich nicht.|parallele linien schneiden sich nicht.
944062a4000889e0e864059e7c7779d8|„Das soll nicht wieder geschehen“, sagte Fortunatus bei sich, und wieder ritten sie aufeinander los. Dieses Mal traf der Speer des Fortunatus den Feind so heftig, dass dieser wie ein Ball vom Pferde flog und tot auf der Erde liegen blieb.|„das soll nicht wieder geschehen“, sagte fortunatus bei sich, und wieder ritten sie aufeinander los. dieses mal traf der speer des fortunatus den feind so heftig, dass dieser wie ein ball vom pferde flog und tot auf der erde liegen blieb.
ebcf29a6ddd4c8ff43901738f8c42bec|Sie begann mit Klavierstunden, als sie sechs Jahre alt war.|sie begann mit klavierstunden, als sie sechs jahre alt war.
6d6e6ed02d96536d625d9423f256eed1|Die Wirklichkeit hat ein Problem - sie ist immer ehrlich.|die wirklichkeit hat ein problem - sie ist immer ehrlich.
2afcb6764511992d8aaa7cf760164fea|Die Angestellten stimmten über den Vorschlag des Geschäftsführers ab.|die angestellten stimmten über den vorschlag des geschäftsführers ab.
06677357061ecaa19e6d0a9f7e244c3c|Bonanza hat nichts mit Bananen zu tun. Oder doch? Es ist eine berühmte Western-Serie.|bonanza hat nichts mit bananen zu tun. oder doch? es ist eine berühmte western-serie.
bca2c24671a4f083145c7654da3ecabd|"Chizuko sagte: """"Ein Kranich kann tausend Jahre leben."|"chizuko sagte: """"ein kranich kann tausend jahre leben."
1542ba89b6c966a7aed45aab4d111ad7|Er ist seinen Prinzipien treu geblieben.|er ist seinen prinzipien treu geblieben.
4e1ae13f651a7315b98a70cbd6ce51ce|Sie fiel von der Leiter.|sie fiel von der leiter.
1d2c4046bf65a1dc9b9fbaa0f8cbcdb1|Wir wollen die Einzigartigkeit aller Sprachen festhalten. Und auch deren Entwicklung im Lauf der Zeit festhalten.|wir wollen die einzigartigkeit aller sprachen festhalten. und auch deren entwicklung im lauf der zeit festhalten.
fd17623d41c99ccbc64ef632d5bd2c41|Aber das ist noch nicht das ganze Bild. Tatoeba ist nicht nur ein offenes, gemeinschaftliches, mehrsprachiges Sätzebuch. Es ist Teil eines Ökosystems, das wir aufbauen wollen.|aber das ist noch nicht das ganze bild. tatoeba ist nicht nur ein offenes, gemeinschaftliches, mehrsprachiges sätzebuch. es ist teil eines ökosystems, das wir aufbauen wollen.
571b077e79ad9f7648fe2a6955044d9b|Es gibt 43 Präfekturen in Japan.|es gibt 43 präfekturen in japan.
c89edb9ee9a8ad0b41159fe92c103dfd|Sänger benutzen Mikrofone, um ihre Stimmen zu verstärken.|sänger benutzen mikrofone, um ihre stimmen zu verstärken.
b01974b2673925efc9e738b7b84990ae|Wenn mein Flieger nicht abstürzt und ich nicht von Organ-Dieben gekidnappt werde, schreibe ich dir Anfang der Woche ein paar Zeilen.|wenn mein flieger nicht abstürzt und ich nicht von organ-dieben gekidnappt werde, schreibe ich dir anfang der woche ein paar zeilen.
63e59d6b5dc2c2fdc363cf125986c7ba|Tom hat einen Strafzettel für eine Verkehrsordnungwidrigkeit bekommen.|tom hat einen strafzettel für eine verkehrsordnungwidrigkeit bekommen.
09bfb5fee9c592e4f0334e1316ca5f77|Ich habe gerade die neueste Version dieses MP3-Spielers gekauft.|ich habe gerade die neueste version dieses mp3-spielers gekauft.
bf68edc51f5896790939fc26b0119a11|Wenn du lange genug bei eBay suchst, wirst du sicher etwas finden, von dem du nicht wusstest, dass du es haben möchtest.|wenn du lange genug bei ebay suchst, wirst du sicher etwas finden, von dem du nicht wusstest, dass du es haben möchtest.
848cb11c5bf0b31362ab7765a64513b3|Ich war todmüde.|ich war todmüde.
1bc5acf100add6cf3e33ba6491e716cb|Wir stellen niemanden mehr ein.|wir stellen niemanden mehr ein.
7c7efbd51eface7d4ef8b5fc187b6fd4|Ich habe ihn gefragt.|ich habe ihn gefragt.
94c15febc7b0af22a8788fd53d47638c|Diese Sitzplätze sind für alte und kranke Leute reserviert.|diese sitzplätze sind für alte und kranke leute reserviert.
da538998cf5cc5f882ddee79712f0eb6|Japan ist die einzige Nation, die durch Atombomben getroffen wurde.|japan ist die einzige nation, die durch atombomben getroffen wurde.
a2f50ae56497a2c036b0f4b582be0f9b|"Ich traf einmal in einer Schule einen Jungen von mittlerer Statur, der einen kleineren Jungen schlug. Ich ermahnte ihn, aber er antwortete: """"Die Großen schlagen mich, deshalb schlage ich die Kleinen. Das ist gerecht."""" Mit diesen Worten fasste er die ganze Menschheitsgeschichte zusammen."|"ich traf einmal in einer schule einen jungen von mittlerer statur, der einen kleineren jungen schlug. ich ermahnte ihn, aber er antwortete: """"die großen schlagen mich, deshalb schlage ich die kleinen. das ist gerecht."""" mit diesen worten fasste er die ganze menschheitsgeschichte zusammen."
219b7481fdf7dd8f95d11ecdef5dc109|Ich habe bereits mein ganzes Taschengeld für diesen Monat ausgegeben.|ich habe bereits mein ganzes taschengeld für diesen monat ausgegeben.
aa0b42e9847d26c3e99b2d4c89aecc30|Warum hast du aufgehört?|warum hast du aufgehört?
3ba10fdfeaf6d191860d0653da4e7ecf|Das Genre dieses Musikers ist die elektronische Musik.|das genre dieses musikers ist die elektronische musik.
0ab68dc7910b18b64c352de5373f7a31|Ich würde gerne einen Tisch für vier Personen bestellen für morgen abend.|ich würde gerne einen tisch für vier personen bestellen für morgen abend.
76c07cbe0a93246a06b327b8af29a2cb|Ich würde gerne Reservierungen machen für ein Abendessen morgen.|ich würde gerne reservierungen machen für ein abendessen morgen.
dff701ce37fb5e3d60c30c5b8e03f1e8|Dieser Gutschein berechtigt den Inhaber zum Erhalt eines Schokoladeneisbechers.|dieser gutschein berechtigt den inhaber zum erhalt eines schokoladeneisbechers.
e63b1ae3721711786908e9598e7d3006|Wenn du noch nie ein Pint Guinness in einem richtigen Irischen Pub getrunken hast, dann empfehle ich das sehr.|wenn du noch nie ein pint guinness in einem richtigen irischen pub getrunken hast, dann empfehle ich das sehr.
1018d1cd549672967beb9ea228767fa2|Kohle besteht vor allem aus Kohlenstoff.|kohle besteht vor allem aus kohlenstoff.
0e365d4b03580514559d54836f97b126|Christoph Kolumbus ging einst zu McDonald’s und bestellte sich ein „Happy Meal“. Es machte ihn nicht froh, aber ihm gefiel das Spielzeug.|christoph kolumbus ging einst zu mcdonald’s und bestellte sich ein „happy meal“. es machte ihn nicht froh, aber ihm gefiel das spielzeug.
f9690e8b78c8265622bf0461f4ddf253|Wenn sich zwei Armeen gegenüberstehen, sollen die kämpfen, die kämpfen können; die nicht kämpfen können, sollen Wache stehen; die nicht Wache stehen können, sollen gehen; die nicht gehen können, sollen sich ergeben; die sich nicht ergeben gehen, sollen sterben.|wenn sich zwei armeen gegenüberstehen, sollen die kämpfen, die kämpfen können; die nicht kämpfen können, sollen wache stehen; die nicht wache stehen können, sollen gehen; die nicht gehen können, sollen sich ergeben; die sich nicht ergeben gehen, sollen sterben.
6364e0260dfe6c5a1fff1cb9db3281b6|Ich lief und lief; sonst wäre ich zu spät gekommen.|ich lief und lief; sonst wäre ich zu spät gekommen.
e5f4cafe47f15de46d3f2e069c716c89|Das könnte man über viele andere auch sagen.|das könnte man über viele andere auch sagen.
9e20a1947a247b0fc6f4c86453f4fe74|Ich kann nicht gut schlafen.|ich kann nicht gut schlafen.
a217b12e8fe48708306995262b1d0627|Die Maus wurde von Tom mit einem Stock erschlagen.|die maus wurde von tom mit einem stock erschlagen.
b34e55aab3910c5e23f51810c90157ca|In meinem Freundeskreis gibt es zwei Personen, die Sänger von Beruf sind.|in meinem freundeskreis gibt es zwei personen, die sänger von beruf sind.
35ac61df9031454d1194f240f451803e|Es wird ihm schwerfallen, in der Öffentlichkeit zu reden.|es wird ihm schwerfallen, in der öffentlichkeit zu reden.
9114842629f601b29558df51ff4e84d4|Er fürchtete sich vor der Dunkelheit.|er fürchtete sich vor der dunkelheit.
a40fddf379278081170f8b5e3b127ba9|Er ist aus Frankreich.|er ist aus frankreich.
08acbdaa4d85bb4de312a5663ac8f6f2|Lasst uns zusammen entscheiden, wo wir zuerst hingehen.|lasst uns zusammen entscheiden, wo wir zuerst hingehen.
090b37bb57110809baf30e38eb540448|Versuche bitte, das Gleiche mit einfacheren Worten auszudrücken, damit unsere ausländischen Kollegen es besser verstehen können.|versuche bitte, das gleiche mit einfacheren worten auszudrücken, damit unsere ausländischen kollegen es besser verstehen können.
20c9e41cb0bae5b25af379ec9a202e45|Die, die bis zur Magenverstimmung essen oder betrunken werden, wissen nicht, wie man isst oder trinkt.|die, die bis zur magenverstimmung essen oder betrunken werden, wissen nicht, wie man isst oder trinkt.
36a69419d976055e41160a4fa9e3a1cd|Auf der Schnellstraße gab es einen schrecklichen Unfall.|auf der schnellstraße gab es einen schrecklichen unfall.
957cf52cf33ebe77b1212f53242d6dab|Es ist nicht sicher, wann er hierher kam.|es ist nicht sicher, wann er hierher kam.
2936e0993568c587f9f4e689b8f1f3af|Schere dich nicht darum, was er gesagt hat.|schere dich nicht darum, was er gesagt hat.
ffb8430c5459cfab45f7317d209c39fa|Wer frisst Bienen?|wer frisst bienen?
63d44a9307c329a213c31ab80f51ba98|Wie soll ich sagen?|wie soll ich sagen?
75c5b8af514a2ecadb7e1ad06a836688|Unter den Kritikern gibt es solche, die denken, dass die der Europäischen Zentralbank auferlegten Ziele nicht angemessen seien.|unter den kritikern gibt es solche, die denken, dass die der europäischen zentralbank auferlegten ziele nicht angemessen seien.
0ec1bbf4514a159516d665dc701238f5|Wirst du morgen rausgehen?|wirst du morgen rausgehen?
c68a485da2af3d0906b6a86040573def|Wie lautet deine neue Telefonnummer?|wie lautet deine neue telefonnummer?
3cf961d2076aaa1e5fe6170ddad65860|Ich habe gehört, dass man Werwölfe töten kann, wenn man mit Silberkugeln auf sie schießt.|ich habe gehört, dass man werwölfe töten kann, wenn man mit silberkugeln auf sie schießt.
329142eafb81c17fa45b4b6d58f71daf|Wir haben uns seit unserer Schulzeit nicht mehr gesehen.|wir haben uns seit unserer schulzeit nicht mehr gesehen.
260d97e26fe2cdb5983c7cac39117203|Es war angenehm, mit ihr zu sprechen.|es war angenehm, mit ihr zu sprechen.
2f249cd584e0b949dd0fd9b4977cbf00|Wie lange hat er gebraucht, um diesen Roman zu schreiben?|wie lange hat er gebraucht, um diesen roman zu schreiben?
f08bc6c95cf5af225a0b8f0dc7f09cf8|Vater trinkt keine Spirituosen.|vater trinkt keine spirituosen.
c5ac9b058fc80d673ddf96c2f7bba686|Das geschah, als ich im ersten Schuljahr der Realschule war, also 17 Jahre sind schon seit damals vergangen.|das geschah, als ich im ersten schuljahr der realschule war, also 17 jahre sind schon seit damals vergangen.
91417d4471e056ec814e20f55fdfd191|Ich bin nicht allergisch gegen Penicillin.|ich bin nicht allergisch gegen penicillin.
6f63161c75fd89a6d1db5c9fd7d18516|Ich weiß nicht, ob ich gewinnen oder verlieren werde.|ich weiß nicht, ob ich gewinnen oder verlieren werde.
8b2e184643b667b743f54e67b6a2b406|Kein großer Künstler sieht die Dinge, wie sie wirklich sind. Wenn er es täte, wäre er kein Künstler.|kein großer künstler sieht die dinge, wie sie wirklich sind. wenn er es täte, wäre er kein künstler.
70516a1db9785f48bb354929c775fc91|Ich war müde, aber ich arbeitete weiter.|ich war müde, aber ich arbeitete weiter.
05fb64eb7b78d6d00ca721e365b9b20d|Man kann nicht verstehen, ob er Optimist oder Pessimist ist.|man kann nicht verstehen, ob er optimist oder pessimist ist.
776a35f067bde56434daf4652e32c4c3|Ich habe wenig Geld. Wie auch immer, ich bin glücklich mit dir.|ich habe wenig geld. wie auch immer, ich bin glücklich mit dir.
7c9126cc6643d95f18629078074479ca|Ich glaube, die Wellen verschlingen am Ende Schiffer und Kahn; und das hat mit ihrem Singen die Lore-Ley getan.|ich glaube, die wellen verschlingen am ende schiffer und kahn; und das hat mit ihrem singen die lore-ley getan.
9e516578af5fa572d528711d1197203c|Wir haben die Tiefe des Flusses gemessen.|wir haben die tiefe des flusses gemessen.
4fbb9d9903310f98180b6f30f4010c9e|Nach deiner tiefen Bräune zu urteilen, sieht es aus, als wenn du deinen Urlaub meistens am Strand verbracht hättest.|nach deiner tiefen bräune zu urteilen, sieht es aus, als wenn du deinen urlaub meistens am strand verbracht hättest.
57d546b6458785a3db047e764fd7692f|Der Flügel des Vogels war gebrochen.|der flügel des vogels war gebrochen.
0ac168a059586d5d6d080e82386c3371|Wohin gehe ich, wenn ich mein Gepäck abgeholt habe?|wohin gehe ich, wenn ich mein gepäck abgeholt habe?
37e30bb27e3bec207d475bff268aeb24|Sie hatten niemanden, an den sie sich wenden konnte.|sie hatten niemanden, an den sie sich wenden konnte.
604bb918a00d7f4f8f7a1a68bf7fc60f|Ich bin noch nie bis jetzt von einem Ausländer angesprochen worden.|ich bin noch nie bis jetzt von einem ausländer angesprochen worden.
08c86fb8c330a7f260719ab1516ad72b|Musstest du dir ein Schlafzimmer mit deinen Brüdern oder Schwestern teilen?|musstest du dir ein schlafzimmer mit deinen brüdern oder schwestern teilen?
8720645d06639fc5c7542ba3adced5a9|Ich habe verschlafen, weil ich lange aufgeblieben bin.|ich habe verschlafen, weil ich lange aufgeblieben bin.
47323533dd9d3b23b822d8584c40d8cb|Wie viel habt ihr dafür bezahlt?|wie viel habt ihr dafür bezahlt?
a10b6f51b181f5443631036257e5cc33|Ich habe die Angewohnheit, vor dem Frühstück einen Spaziergang zu machen.|ich habe die angewohnheit, vor dem frühstück einen spaziergang zu machen.
40fa0d57905663cb70766489ad8cbf1e|Seine neuartigen Ideen bringen ihn immer wieder in Verlegenheit mit seinen eher konservativen Kollegen.|seine neuartigen ideen bringen ihn immer wieder in verlegenheit mit seinen eher konservativen kollegen.
c820dc07692456b13d52d8dbcde752b5|Ich werde hier essen.|ich werde hier essen.
5e62cec3508c41cad5d3757028dfcd2b|Wer Stroh im Kopf hat, muss sich vor jedem Funken Wahrheit hüten.|wer stroh im kopf hat, muss sich vor jedem funken wahrheit hüten.
742e5950917e361e40e1fe1e31a2749c|Der Kanaltunnel war aufgrund extremer Witterungsverhältnisse geschlossen.|der kanaltunnel war aufgrund extremer witterungsverhältnisse geschlossen.
db96dda348e86fceabcd7e24d933d971|Ursprünglich wollte Abraham Lincoln alle Sklaven nach Afrika oder in die Karibik deportieren lassen.|ursprünglich wollte abraham lincoln alle sklaven nach afrika oder in die karibik deportieren lassen.
ce0e6e3945453edd8855ac9dc0089180|Prof. Itō hat sich zum Zweck linguistischer Studien in die Vereinigten Staaten begeben.|prof. itō hat sich zum zweck linguistischer studien in die vereinigten staaten begeben.
fc46ce2560a298890a34020d8fd17a8f|Weisheit findet man eher unter Runzeln als unter glatten Backen.|weisheit findet man eher unter runzeln als unter glatten backen.
57ee81a60a52a8deda2aff7912542090|Bitte stelle diese Stühle an das Fenster.|bitte stelle diese stühle an das fenster.
3394d2b1e06b608e2771d1d7d986390d|Er konnte es nicht ertragen, von ihr getrennt zu sein.|er konnte es nicht ertragen, von ihr getrennt zu sein.
7d5eddccc17d42ac76db8807b8aef16d|Eine Mischung aus Chili-Extrakt, gemischt mit einer Hand voll Tabak, könnte Bauern in Kenia helfen, ihre Felder vor Elefanten zu schützen.|eine mischung aus chili-extrakt, gemischt mit einer hand voll tabak, könnte bauern in kenia helfen, ihre felder vor elefanten zu schützen.
5dbc4c7890a91fa28be7892b5192d3db|Ich meine, dass eine neue Variante des Biathlon wünschenswert wäre: statt Gewehre sollte man Bogen benützen.|ich meine, dass eine neue variante des biathlon wünschenswert wäre: statt gewehre sollte man bogen benützen.
39b9455682c94f6d3f37d764fa612282|Du siehst beschäftigt aus.|du siehst beschäftigt aus.
01e139953eefb5a7941c40bc2dc84312|Er war ein Ingenieur und wurde als solcher behandelt.|er war ein ingenieur und wurde als solcher behandelt.
229b4f9a76d150e3ba50527385fa1ded|Toms Universitätsbewerbung wurde abgelehnt.|toms universitätsbewerbung wurde abgelehnt.
c5448503bbf8db3805c75ea6c790af45|Bitte achte darauf, dass das Trinkwasser rein ist.|bitte achte darauf, dass das trinkwasser rein ist.
3b22e5d02ac2ad86c4f035798d7678c4|Ich möchte Ärztin, Krankenschwester oder Lehrerin werden.|ich möchte ärztin, krankenschwester oder lehrerin werden.
90242dd69b69b50b19a6badc7dfddae7|Japan besteht aus vier großen Inseln und 3.000 weiteren Inseln, und es hat ungefähr die gleiche Fläche wie Kalifornien.|japan besteht aus vier großen inseln und 3.000 weiteren inseln, und es hat ungefähr die gleiche fläche wie kalifornien.
134af062677291ebdb8950b6f70bbec4|Vor kurzem habe ich mir eine hartnäckige Erkältung zugezogen und über eine Woche lang an ihr gelitten.|vor kurzem habe ich mir eine hartnäckige erkältung zugezogen und über eine woche lang an ihr gelitten.
5ffbac6049aedb04b1c48723b58dc043|Milchsäurebakterien sind ziemlich hartnäckig: selbst wenn man sie einfriert, fallen sie einfach in Winterschlaf, und wenn man sie auftaut, erwachen sie wieder zum Leben.|milchsäurebakterien sind ziemlich hartnäckig: selbst wenn man sie einfriert, fallen sie einfach in winterschlaf, und wenn man sie auftaut, erwachen sie wieder zum leben.
6aef76af3b91843ed46e6c4cf94d3027|Könnt ihr das noch mal machen?|könnt ihr das noch mal machen?
08fff9a47108787f279f69e26f5ed459|Das Rohr platzte aufgrund hohen Drucks.|das rohr platzte aufgrund hohen drucks.
777e0b1e00d28aa514435d52ba9b1793|Die Ursprünge der Heeresflieger der Vereinigten Staaten, diese waren der Vorläufer der Luftstreitkräfte, lassen sich in das Jahr 1918 zurückverfolgen.|die ursprünge der heeresflieger der vereinigten staaten, diese waren der vorläufer der luftstreitkräfte, lassen sich in das jahr 1918 zurückverfolgen.
8e46dba6efed97abc1bbcf3deef53255|Sie hatte keine andere Wahl, als sich ihrem Schicksal zu unterwerfen.|sie hatte keine andere wahl, als sich ihrem schicksal zu unterwerfen.
05c6837e448c036f137ed688d8317c01|Base-Jumping ist ein Extremsport.|base-jumping ist ein extremsport.
6332ca49ced1399ce6cc14dd33d80c1a|Wenn es draußen regnet, bleibt man am besten drinnen.|wenn es draußen regnet, bleibt man am besten drinnen.
fba17ee175ac40dbd3eda48424c13cd3|Tom hat einen gelben Sportwagen.|tom hat einen gelben sportwagen.
bc66940516755244142ada9bfebbc609|1975 wurde Angola eine freie Nation.|1975 wurde angola eine freie nation.
60f7b404d809e52448fc933b2b205a2d|Es scheint, dass jeder mit jemandem ein Hühnchen zu rupfen hat, aber wenige können das philosophisch betrachten.|es scheint, dass jeder mit jemandem ein hühnchen zu rupfen hat, aber wenige können das philosophisch betrachten.
045c1b89cafedfe951df9a48c74399a4|Wir machten uns über ihn lustig wegen dieses Vorfalls.|wir machten uns über ihn lustig wegen dieses vorfalls.
ba9d59f956aa87da635d75f8f0bb9493|Wegen der unabdingbar notwendigen Anwesenheit der alle Teilnehmer langweilenden Vorsitzenden, die niemand zu unterbrechen wagt, sind ihre Versammlungen ziemlich triste Angelegenheiten.|wegen der unabdingbar notwendigen anwesenheit der alle teilnehmer langweilenden vorsitzenden, die niemand zu unterbrechen wagt, sind ihre versammlungen ziemlich triste angelegenheiten.
a805d5cc831b26e24247eca6dd6f55b2|In meiner Freizeit gehe ich auf die Jagd.|in meiner freizeit gehe ich auf die jagd.
500e580b6ea7acb975995fb4298bfa7e|"Was?, fragte Pharamp. """"Nichts"""", log Sysko, """"wir haben gerade über die Auswirkungen des Konfuzianismus auf den modernen Chinesischen Sozialismus gesprochen.""""."|"was?, fragte pharamp. """"nichts"""", log sysko, """"wir haben gerade über die auswirkungen des konfuzianismus auf den modernen chinesischen sozialismus gesprochen.""""."
